participant,photo_set,group,trial,block,accuracy,RT,learn_half,groupname,meanrt,stdev
0001,2,1,4,1,1,3.99723449989688,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,5,1,1,5.36293179995846,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,6,2,0,6.27343649999239,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,7,2,1,3.61298850004096,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,8,2,1,4.15602719993331,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,9,2,1,3.57444090000354,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,10,2,0,5.947355399956,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,11,3,1,3.45117770007346,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,12,3,1,6.39848689991049,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,13,3,0,4.55120810004883,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,14,3,1,4.18651289993431,1,Sequential,4.55221942497883,0.943144353983975
0001,2,1,15,4,1,3.65483100002166,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,16,4,1,3.90455340000335,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,17,4,1,3.7070684999926,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,18,4,0,5.90800689999014,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,19,4,0,4.79722309997305,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,20,5,0,3.48155529994983,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,21,5,1,3.61847569991369,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,22,5,1,4.75269540003501,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,23,5,1,3.47543079999741,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,34,5,0,5.9278750999365,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,25,6,1,4.03724949993193,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,26,6,0,5.08992339996621,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,27,6,0,4.62859470001422,2,Sequential,4.55221942497883,0.943144353983975
0001,2,1,28,6,0,3.99894109996967,2,Sequential,4.55221942497883,0.943144353983975
0002,3,1,3,1,0,4.04856330004986,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,4,1,1,5.52001850004308,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,5,1,1,5.72254049999174,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,7,2,1,5.47129940008745,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,8,2,1,3.87483060010709,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,9,2,1,5.06748289999086,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,10,2,0,5.88158409995958,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,11,3,1,4.91898069996387,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,13,3,0,4.81365239992738,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,14,3,1,5.54749900009483,1,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,15,4,1,3.94267799996305,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,16,4,0,5.80214659997728,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,17,4,1,3.41352429997642,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,18,4,1,4.82284120004624,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,19,4,1,5.81622209993657,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,20,5,1,6.8494733000407,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,21,5,1,3.81117770005949,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,22,5,1,3.63185269990936,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,23,5,1,3.43003639997914,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,34,5,1,3.78819709992968,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,25,6,1,4.84276109992061,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,26,6,0,3.84249480010476,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,27,6,1,4.87832309992518,2,Sequential,5.219799544442342,1.4966009790614072
0002,3,1,28,6,0,5.38201679999474,2,Sequential,5.219799544442342,1.4966009790614072
0003,5,1,1,1,0,7.65807020000648,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,2,1,0,7.54496389999986,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,3,1,1,5.27044970006682,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,5,1,1,3.97713090002071,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,6,2,0,6.54963489994407,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,7,2,1,4.53840520000085,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,8,2,1,4.53079759993125,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,9,2,1,6.1575985000236,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,10,2,1,4.49325599998701,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,11,3,1,3.38358989998233,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,12,3,0,7.8242815999547,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,13,3,1,4.0819024000084,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,14,3,1,4.64998459990602,1,Sequential,5.390703314287488,1.47608192321719
0003,5,1,15,4,1,6.54605650005396,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,16,4,1,3.80049850000069,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,17,4,1,3.76704919990152,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,18,4,0,6.46627640002407,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,19,4,1,6.27341130003333,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,20,5,1,4.14503680006601,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,21,5,1,5.48432130005676,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,22,5,1,5.60178979998454,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,23,5,1,5.47688890004065,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,34,5,1,3.95781930000521,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,25,6,1,5.52416689996608,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,26,6,1,5.67613469995558,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,27,6,1,4.00343600008637,2,Sequential,5.390703314287488,1.47608192321719
0003,5,1,28,6,1,4.15810340002645,2,Sequential,5.390703314287488,1.47608192321719
0004,3,2,1,1,1,6.21381390000005,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,3,1,1,5.36255549999998,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,4,1,1,7.09701530000001,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,5,1,1,3.88653670000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,6,2,1,6.13256909999996,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,7,2,1,7.47480330000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,8,2,1,5.71545930000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,9,2,0,3.91091689999996,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,10,2,0,5.3110825,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,11,3,1,5.78886569999997,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,12,3,1,5.33658289999994,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,13,3,1,4.18385720000003,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,14,3,0,5.52457979999997,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,15,4,0,4.77878880000003,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,16,4,1,3.64571020000005,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,17,4,1,3.74095,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,18,4,0,6.6194524,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,19,4,0,5.77165339999999,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,20,5,1,4.97410109999998,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,21,5,1,5.68062470000007,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,171,5,1,3.49745580000013,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,23,5,0,4.27439639999989,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,180,5,1,4.56848560000003,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,189,6,1,8.00927200000001,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,192,6,1,4.66249299999981,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,27,6,1,4.52683389999993,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,28,6,1,3.58509359999994,2,Non-sequential,5.366143053571423,1.4852542901852237
0005,4,2,1,1,0,6.18662649998441,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,5,1,1,4.0138297000085,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,6,2,0,4.29216309997719,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,7,2,1,5.25602540001273,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,8,2,1,6.09486270003254,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,9,2,0,4.43673020001734,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,10,2,1,4.02434699999867,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,11,3,0,6.3649873000104,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,12,3,1,4.62276840000413,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,14,3,0,4.21491689997492,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,15,4,0,5.28800480003702,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,16,4,1,4.58954580000136,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,17,4,1,6.42141479998827,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,18,4,1,6.02498889999697,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,19,4,1,4.82905369997025,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,20,5,1,6.93081130000064,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,171,5,1,4.46080830000574,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,23,5,0,5.74172309995629,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,180,5,1,5.56431009998778,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,189,6,1,7.95142549998127,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,27,6,1,4.81942149996758,2,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,28,6,1,4.32760419999249,2,Non-sequential,5.492531865212621,1.3924740989485105
0006,5,2,3,1,0,6.36792370001785,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,4,1,0,8.34477889997652,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,5,1,1,5.31037090002792,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,6,2,0,5.12788980000187,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,8,2,1,4.16401390003739,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,9,2,0,3.67630629998166,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,12,3,1,5.34468169999309,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,13,3,1,4.24330810003448,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,14,3,0,5.19108730001608,1,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,15,4,0,7.4336653999635,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,16,4,1,6.36312190000899,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,17,4,1,6.95681320002768,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,18,4,0,4.46547819999978,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,19,4,1,4.13261500000954,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,171,5,1,3.35592060000636,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,23,5,0,4.0176277999999,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,180,5,1,8.84784609999042,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,27,6,1,7.93103789997986,2,Non-sequential,5.5717544105320584,1.6443391302264696
0006,5,2,28,6,0,4.58884710003622,2,Non-sequential,5.5717544105320584,1.6443391302264696
0007,6,2,2,1,1,4.25507239997387,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,3,1,0,7.83221169997705,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,4,1,0,7.80497239995748,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,5,1,1,3.95743089995813,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,6,2,0,4.56470950000221,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,7,2,0,3.92242229997646,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,8,2,1,4.18918389995815,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,9,2,0,3.28418379998766,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,10,2,1,5.24544620001689,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,11,3,0,7.43963350000558,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,12,3,1,8.21476160001475,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,13,3,1,3.26581640000222,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,14,3,0,4.17339109996101,1,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,15,4,0,9.16483880003216,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,16,4,1,5.04289340000832,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,17,4,0,3.42128880001837,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,19,4,1,6.44186500000069,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,20,5,1,9.43691709998529,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,21,5,1,5.98222339997301,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,171,5,1,3.23765470000217,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,23,5,0,3.26566189998994,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,180,5,1,3.5663840000052,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,192,6,1,3.87599900003988,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,27,6,1,9.46960180002498,2,Non-sequential,5.566400667994749,2.177098460389153
0007,6,2,28,6,0,8.10545309999725,2,Non-sequential,5.566400667994749,2.177098460389153
0008,6,1,2,1,1,2.53713850001805,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,3,1,1,5.31606340000872,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,4,1,1,6.25375760000315,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,5,1,1,3.82803090001107,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,6,2,0,3.70102169999154,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,7,2,1,5.85067839999101,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,8,2,1,4.47052750000148,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,9,2,1,3.99630349999643,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,10,2,0,5.41429970000172,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,11,3,1,4.23820600000909,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,12,3,1,4.88502539999899,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,13,3,1,4.52360029998817,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,14,3,1,4.03907339999569,1,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,15,4,1,4.24009030000889,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,16,4,1,3.98265219997847,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,17,4,1,3.51717819998157,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,18,4,1,4.83362930000294,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,19,4,1,3.63617370001157,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,21,5,1,3.34029970000847,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,22,5,1,4.03243409999413,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,23,5,1,3.54037390000303,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,34,5,1,4.65296239999589,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,25,6,1,4.40153760000248,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,26,6,1,5.60025659998064,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,27,6,1,3.63272809999762,2,Sequential,4.540338707142967,1.1582040842616361
0008,6,1,28,6,1,3.73045260002255,2,Sequential,4.540338707142967,1.1582040842616361
0009,7,2,1,1,0,6.26185079995776,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,2,1,0,7.70107000001008,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,3,1,0,5.31102159997681,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,4,1,0,7.47100069996668,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,5,1,1,3.8805806999444,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,6,2,1,5.50632320001023,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,7,2,1,6.97144210000988,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,8,2,1,4.22093339997809,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,9,2,0,4.8372860000236,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,10,2,1,5.18231549998745,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,11,3,0,8.34757410001475,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,12,3,1,5.16371620004065,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,13,3,1,4.16750439995667,1,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,16,4,1,5.10877459996846,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,17,4,1,5.28123490000144,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,18,4,0,5.66434119996848,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,19,4,0,6.23158840002725,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,20,5,1,6.43765959999291,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,171,5,1,4.1017567999661,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,23,5,0,4.61716590001015,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,180,5,1,4.84516000002623,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,189,6,1,5.52483619999839,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,192,6,1,9.38120930001605,2,Non-sequential,6.068867457685814,1.7077972699353492
0009,7,2,28,6,1,6.05507659999421,2,Non-sequential,6.068867457685814,1.7077972699353492
0010,1,2,1,1,1,8.06054109998513,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,2,1,1,5.82407349999994,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,3,1,0,3.82008780003525,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,4,1,0,3.911802800023,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,5,1,0,3.79433679999784,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,6,2,1,5.47071829997003,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,7,2,1,7.96105679997709,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,8,2,1,6.62872709997464,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,9,2,0,4.29275829996914,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,10,2,1,4.6237770000007,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,11,3,0,4.40845360001549,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,13,3,0,5.98076260002563,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,14,3,0,6.25831010000547,1,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,15,4,0,5.49253450002288,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,16,4,0,4.26382150000427,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,17,4,1,6.23731019999832,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,18,4,0,5.93286090000765,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,19,4,1,3.46554119995562,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,21,5,1,4.56322979996912,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,171,5,1,3.93530270003248,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,23,5,0,6.4394164000405,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,180,5,0,7.91869890003,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,189,6,0,5.00689120002789,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,27,6,0,4.75759360002121,2,Non-sequential,5.532312496157829,1.5140678957192646
0010,1,2,28,6,0,5.44961609999882,2,Non-sequential,5.532312496157829,1.5140678957192646
0011,2,2,1,1,0,8.17377359996317,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,2,1,0,7.08362260001013,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,3,1,1,4.27655650000088,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,4,1,1,6.34666189999552,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,5,1,1,3.7753662999603,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,6,2,0,5.7860742000048,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,7,2,1,3.54126510000788,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,8,2,1,4.19702389999293,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,9,2,0,3.87437289999798,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,10,2,0,4.91667690000031,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,11,3,0,4.72953019995475,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,13,3,1,8.81336410000222,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,14,3,0,8.48085619998164,1,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,15,4,0,9.08231249998789,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,16,4,1,5.27238789998228,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,18,4,0,7.87167209998006,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,19,4,1,4.30339299998013,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,21,5,1,5.0121340000187,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,171,5,1,4.16723350004759,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,23,5,0,3.29743610002333,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,180,5,0,4.83765639999183,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,189,6,1,9.24231130001135,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,192,6,1,6.26196449995041,2,Non-sequential,5.772565787495599,1.891088334139771
0011,2,2,28,6,1,5.19793320004828,2,Non-sequential,5.772565787495599,1.891088334139771
0012,7,1,3,1,0,3.39513890002854,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,4,1,1,4.85847530001774,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,5,1,1,3.01153339998564,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,6,2,1,3.69407029997092,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,7,2,1,3.85873690003064,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,8,2,1,4.19737920002081,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,9,2,1,3.30872760002967,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,10,2,1,2.84688570001163,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,11,3,1,4.12356290000025,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,12,3,1,3.68373799999245,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,13,3,1,3.08971209998708,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,14,3,1,3.3204697999754,1,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,15,4,1,4.03747290000319,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,16,4,1,3.69827730004909,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,17,4,1,3.66530599998077,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,18,4,1,4.66289500001585,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,19,4,1,3.10428650001995,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,20,5,1,3.13836989999982,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,21,5,1,4.24943309999071,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,22,5,1,5.28003890003311,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,23,5,1,3.38042160001351,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,34,5,1,3.29116670001531,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,25,6,1,3.31683450000128,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,26,6,1,3.14946610003244,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,27,6,1,2.95396760001313,2,Sequential,3.844906550006792,0.9770437060310818
0012,7,1,28,6,1,3.24878079997143,2,Sequential,3.844906550006792,0.9770437060310818
0013,1,1,1,1,0,7.05592820001766,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,2,1,0,6.91861079999944,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,3,1,1,6.69772709999233,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,4,1,1,4.97490470000776,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,5,1,0,4.16945539996959,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,6,2,1,6.53689349995693,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,7,2,1,4.5449382000370004,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,8,2,1,3.56736099999398,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,9,2,1,3.85598579997895,1,Sequential,4.696310178570067,1.2727386355517083
0013,1,1,10,2,1,3.68817209999543,1,Sequential,4.696310178570067,1.2727386355517083
